date,名称,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比
2026-07-19,工程机械整机,-2.78,-306757856.0,-5.32
2026-07-19,服装家纺,-3.67,-312133728.0,-4.29
2026-07-19,黑色家电,-6.0,-314668405.0,-9.39
2026-07-19,其他专业工程,-4.7,-324452928.0,-5.26
2026-07-19,铁路公路,-0.87,-324576064.0,-5.42
2026-07-19,检测服务,-4.93,-325090664.0,-8.26
2026-07-19,镍,-4.69,-333208536.0,-14.2
2026-07-19,铅锌,-4.19,-336996576.0,-6.15
2026-07-19,调味发酵品Ⅱ,-3.12,-342016128.0,-7.17
2026-07-19,调味发酵品Ⅲ,-3.12,-342016128.0,-7.17
2026-07-19,通信应用增值服务,-5.24,-344431504.0,-3.61
2026-07-19,光伏加工设备,-5.8,-353419568.0,-5.89
2026-07-19,化学原料,-2.21,-357375744.0,-2.13
2026-07-19,医院,-4.22,-364047248.0,-6.83
2026-07-19,风电整机,-3.28,-367438872.0,-10.07
2026-07-19,影视动漫制作,-5.62,-380227616.0,-6.11
2026-07-19,能源及重型设备,-3.95,-381540800.0,-2.96
2026-07-19,农化制品,-1.79,-390198912.0,-2.31
2026-07-19,专业工程,-3.65,-395432288.0,-4.42
2026-07-19,空调,-0.96,-395857776.0,-5.85
2026-07-19,膜材料,-4.53,-399486960.0,-3.92
2026-07-19,车身附件及饰件,-4.42,-400723824.0,-5.77
2026-07-19,电动乘用车,-2.64,-403300816.0,-4.92
2026-07-19,工程机械,-3.68,-407840240.0,-5.35
2026-07-19,医药流通,-4.46,-416118310.0,-8.09
2026-07-19,黄金,-5.54,-417185360.0,-3.67
2026-07-19,通信服务,-4.72,-421037776.0,-2.38
2026-07-19,制冷空调设备,-5.98,-423377424.0,-6.36
2026-07-19,非金属材料Ⅲ,-4.93,-424234784.0,-8.72
2026-07-19,非金属材料Ⅱ,-4.93,-424234784.0,-8.72
2026-07-19,医疗耗材,-5.06,-439571360.0,-5.17
2026-07-19,商贸零售,-3.12,-443153728.0,-2.13
2026-07-19,疫苗,-4.98,-449460379.0,-11.47
2026-07-19,航海装备Ⅱ,-4.4,-453000848.0,-6.29
2026-07-19,航海装备Ⅲ,-4.4,-453000848.0,-6.29
2026-07-19,其他通用设备,-5.06,-468026832.0,-2.84
2026-07-19,环境治理,-4.05,-477060048.0,-3.47
2026-07-19,锂电专用设备,-5.77,-479494070.0,-10.88
2026-07-19,白色家电,-2.62,-482790096.0,-5.86
2026-07-19,其他汽车零部件,-5.37,-494146992.0,-5.69
2026-07-19,磁性材料,-6.65,-495773920.0,-8.31
2026-07-19,汽车电子电气系统,-5.41,-501261424.0,-5.55
2026-07-19,纺织服饰,-3.48,-501685344.0,-4.0
2026-07-19,生猪养殖,-3.21,-508818352.0,-7.6
2026-07-19,医药商业,-4.41,-511556062.0,-7.53
2026-07-19,动力煤,-1.73,-522269632.0,-5.59
2026-07-19,稀土,-4.13,-523077984.0,-7.96
2026-07-19,风电设备,-4.03,-535954112.0,-5.38
